Pathway1 5763,3661,9161,1182,6513,3764,7035,8445,6414,5531,1141,6586,6866,5632,8626,9133,8988,5825,1987,165,4447,1976,8915,3445,5031,8131,236,7700,123,8646,8291,7156,6936,1661,7478,7455,1420,8226,9693,4914,9249,2813,4482,7072,9761,5116,1959,1839,173,1761
Pathway2 1761,6091,920,7705,4116,184,6492,2302,6882,6576,374,9654,9668,5891,4681,6880,8991,2327,2356,1292,2336,6632,1445,7924,6737,3573,7702,1665,3419,4987,1676,1868,4238,4574,6215,4878,3435,2312,6497,1218,4396,7500,1993,5983,5517,5315,6603,8695,3187,8622
Pathway3 8622,5201,2417,1730,9932,5863,6958,3623,2033,6118,4633,454,3597,8551,198,3686,8392,8634,2613,1295,6231,5283,1680,7740,5969,2376,6268,2329,5086,3327,9536,9791,2482,1135,6656,4541,6886,635,3617,421,9501,1794,9920,8799,7260,2366,1751,9121,7763,2854
Pathway4 2854,1670,2568,4120,4798,1303,4495,391,9880,408,6244,1422,8033,3116,7305,4294,7847,1672,8871,2717,7488,5525,6571,7084,571,7801,474,101,9223,314,4725,7836,8280,176,5791,9452,6384,6920,427,2021,1667,5787,9003,9202,5737,5941,6937,8387,9473,6645
Pathway5 6645,8658,5850,7889,3485,9943,2839,7422,8664,8913,8175,4526,650,7439,6070,8019,6549,201,694,2981,5418,1010,9662,6557,3057,3876,8421,3222,4070,4331,7837,6891,4126,8294,6321,9347,9773,9299,319,453,1770,185,8905,3006,3734,3067,7244,5912,6948,6794
Pathway6 6794,2101,2548,2913,3299,5179,7395,3109,7701,480,402,1579,7125,6834,5119,1116,4783,3667,3247,4169,1978,7423,8348,779,3063,6298,888,2802,7248,3990,2074,1064,6280,7988,4692,4644,8775,1487,2237,6901,5979,2383,581,5697,8368,4467,5162,8461,1884,48
Pathway7 48,4531,9864,5174,7691,9745,8621,7050,9697,325,1509,2974,8527,1532,1041,467,5169,1310,1127,4969,1417,2230,6028,9602,2642,2032,6054,4751,935,6906,636,3259,4943,7184,8319,7424,3997,2216,7473,2651,8967,6161,7846,5372,4494,7209,7586,6717,4162,645
Pathway8 645,2919,4089,1114,9017,9703,8798,4174,733,7672,4428,186,302,7601,7842,1649,8865,8141,1370,6407,4712,4186,2788,5304,4820,9154,5146,1562,8778,5143,1881,58,7859,8406,1899,9875,9953,2657,6768,8209,3872,4094,5200,4981,9506,6540,7015,436,7578,5813
Pathway9 5813,9741,4290,4267,3351,5225,7756,1075,1194,1467,2993,3383,5310,5059,6988,6560,3339,8154,9243,468,2180,6410,933,4757,1257,6068,9760,242,695,1433,6614,8177,579,8221,8859,3544,3273,4426,4743,2114,1012,4807,3932,9165,8054,2301,4803,3577,5364,2082
Pathway10 2082,6740,6537,5191,8439,4343,1981,7552,969,6124,2136,2303,4705,1718,9615,1613,8927,8565,3605,5673,8929,9388,944,9025,3005,5532,8414,8065,3529,4492,298,3593,9069,5333,3164,5900,3320,8478,261,2432,281,9573,1366,5639,5959,5030,1094,1722,5297,8476
Pathway11 8476,8592,4083,7658,8617,6508,4674,8069,1471,4856,7582,5311,9733,499,4758,4695,103,5047,1838,1630,9667,8783,1964,4166,8647,7977,2747,3822,7864,1300,9279,2296,9825,5853,3209,7398,9895,2286,8974,9767,3774,7506,7283,7417,7128,4535,887,4431,3068,4310
Pathway12 4310,5739,6693,5423,9961,8053,6780,5366,1683,2739,7069,8785,1297,167,9727,4683,5669,8507,5847,1479,8380,8086,7002,9989,9999,1961,4206,4510,7863,2669,9983,4842,5459,41,1982,4255,2067,7263,6309,2340,7083,7000,9190,5581,3196,213,7366,2387,5867,5015
Pathway13 5015,5263,2828,553,8366,8138,9308,9793,7746,8539,4021,2070,1286,2917,8181,9375,3958,746,1842,5291,4703,510,1230,233,6975,8941,4534,2937,300,4325,5524,5572,5906,1299,9618,8367,679,9257,2777,8550,4295,275,4064,3521,6355,7878,5326,5845,3516,6360
Pathway14 6360,5744,1704,6879,8136,148,2907,1698,2081,7666,6934,1203,8068,40,5506,7741,2015,9594,8048,928,5981,1434,7733,4213,5521,8922,3966,1992,642,1540,8928,6405,1326,23,1887,7854,1294,3915,5742,9266,2983,5175,2775,1330,1932,9436,8342,2289,3175,1988
Pathway15 1988,8772,836,6575,1191,3681,151,6194,3650,8884,5020,6548,2284,3026,3769,9430,4656,3913,3107,2843,637,5579,8805,1389,5203,1388,5738,4940,685,1519,4067,2786,3467,845,9100,5252,7235,6049,8481,7649,5966,9203,2452,8358,112,7968,1523,200,2789,8118
Pathway16 8118,2938,1754,1820,739,7751,406,1335,7234,6631,8040,1709,4299,1023,2473,9575,2969,1339,1668,1247,6587,1825,2800,5641,8404,2628,1258,1867,6776,4522,241,5123,5207,4483,3357,2139,7113,6939,1784,67,9061,6346,3949,1810,3838,4626,6283,5890,6404,8543
Pathway17 8543,4503,8567,7130,9445,4178,4216,1472,2931,8349,6651,942,9342,8427,5053,3722,7922,8691,2558,3642,3397,3313,5330,2596,2667,1474,2524,1118,1438,6017,3808,3053,99,4569,3864,3904,2261,2160,9743,4180,6957,2953,1584,2297,2746,6615,3138,9811,5714,4259
Pathway18 4259,6446,2135,2000,9888,8844,7898,2176,3146,6968,9838,2137,9678,8091,477,9387,8728,3278,3638,2097,9431,4849,6032,5704,5534,3032,5768,4377,794,3620,4936,352,9946,1845,8679,3768,5933,4602,8395,1965,9287,7122,8184,132,4869,486,7611,869,3142,946
Pathway19 946,7076,945,277,7667,6670,1458,7466,2128,4973,6569,6618,6654,7912,6145,2177,529,5335,3633,7998,3038,322,2858,6703,5272,5374,6935,1890,753,5871,3213,1980,8957,6836,8493,4258,4662,8861,6485,7773,5913,6205,2571,5872,7319,3549,3459,7462,2680,4660
Pathway20 4660,1276,1947,1153,9891,8533,179,5181,9240,7685,7100,7172,440,7064,4737,5899,4284,7770,9035,7145,7923,4062,3358,4196,7169,1497,5108,534,4209,9734,9996,9798,5081,4992,8723,404,8099,4046,4352,3202,5416,5991,2513,2590,8947,6868,3564,8495,3349,3795
Pathway21 3795,3128,5760,1318,1216,5896,9412,4024,3455,3066,9585,6553,7112,1455,2815,8656,6051,1193,9860,6302,4344,4090,7522,7731,1805,1053,5103,7853,1780,127,5544,9736,1675,9142,7750,5926,6427,2709,8269,564,9883,8751,4235,4218,6385,2211,4978,5838,9104,7557
Pathway22 7557,7879,9621,6167,4157,1056,5674,956,7548,9086,6663,6881,9565,4420,1741,5396,6989,5390,6903,8249,2398,2259,5426,9502,6625,1040,5823,2038,2064,4520,7653,2833,133,3780,2825,7406,9151,2897,4822,3888,6752,9977,2710,5427,7679,439,2543,4048,1280,2818
Pathway23 2818,1603,3007,9465,8210,2865,8511,1841,178,9730,1808,8704,9509,3979,1385,9383,3968,1071,4795,8523,5247,8142,9588,6465,5100,2338,528,2187,5944,3866,3628,6644,155,8849,8027,1396,5606,1944,1906,6777,4582,4797,1077,9976,2537,5048,4119,8047,435,7153
Pathway24 7153,8832,9155,3845,7629,3493,2418,1962,3953,8254,9549,1901,2020,4374,7663,1578,1364,3151,7290,4204,797,2044,278,5328,3929,4143,4337,9711,4469,8074,8648,9993,4300,8417,9354,777,1187,1377,6554,8150,2914,3557,3790,9700,583,6461,593,9862,7850,8419
Pathway25 8419,3666,9482,9464,6853,5554,9438,1485,4091,2238,1109,4773,5209,1261,9893,8904,2155,8002,5547,6515,778,4846,1435,9159,5940,6672,9348,4257,2459,4721,1548,648,4289,4254,3740,5125,3946,941,4982,1353,3568,3601,1596,5759,1278,2215,90,9523,8566,3503
Pathway26 3503,9469,7498,9857,5309,3854,6188,7758,7724,6367,2840,4109,4652,2940,708,6452,3084,9113,7791,9728,9050,9204,5049,52,8472,8402,8052,424,5982,552,6725,9769,4885,9265,7647,1496,5279,1002,6573,5703,3571,6303,5155,4760,9962,2233,4876,2857,4386,1755
Pathway27 1755,895,5575,2495,9717,6517,7460,4000,4301,1758,2424,8610,476,3984,428,8094,8266,4072,8199,8288,4453,6040,4658,1539,5807,403,6292,2429,1307,5139,5882,5289,5930,4081,871,7572,7018,9077,3030,6857,7315,3861,2579,2535,5260,9963,9285,9985,4200,1779
Pathway28 1779,5448,4559,1654,9721,2883,8620,8638,7713,7068,3118,725,1856,1895,4945,2468,560,1301,1801,2479,9162,7431,8422,9370,5595,3344,279,5318,7029,8058,8951,7812,6616,4669,8145,6176,828,8028,8955,7487,2701,7824,6765,9148,7432,4899,9350,9005,2573,8492
Pathway29 8492,2759,1996,3087,5269,2058,1142,7838,4586,5582,9078,6873,324,6887,4525,5255,8152,9331,500,6228,6840,3889,2134,5455,4799,3447,3102,3783,238,3267,890,8296,3188,4668,3697,5443,7197,7114,5573,876,9176,7810,4891,4005,138,4281,9512,1610,305,8807
Pathway30 8807,6747,4592,6511,7279,9396,881,6477,1865,5142,3483,9012,9806,4266,380,3352,9010,2142,7798,290,6713,2668,4637,1234,1014,3073,4965,5708,3624,1622,4160,957,7606,9494,5916,1776,8107,4071,4588,2144,8776,6021,7246,596,7888,8716,2877,6896,7352,5165
